year,state_alpha,county_ansi,county_name,commodity_desc,unit_desc,Period,Value,Value_num
2007,ME,003,AROOSTOOK,BARLEY,BU,YEAR,"1,048,914",1048914
2007,ME,009,HANCOCK,BARLEY,BU,YEAR,750,750
2007,ME,019,PENOBSCOT,BARLEY,BU,YEAR,"18,928",18928
2007,ME,011,KENNEBEC,BARLEY,BU,YEAR,410,410
2007,ME,019,PENOBSCOT,BEANS,CWT,YEAR,"1,000",1000
2007,ME,011,KENNEBEC,BEANS,CWT,YEAR,180,180
2007,ME,003,AROOSTOOK,CORN,BU,YEAR,"28,856",28856
2007,ME,019,PENOBSCOT,CORN,BU,YEAR,"101,304",101304
2007,ME,021,PISCATAQUIS,CORN,BU,YEAR,"6,960",6960
2007,ME,025,SOMERSET,CORN,BU,YEAR,"78,043",78043
2007,ME,011,KENNEBEC,CORN,BU,YEAR,"16,580",16580
2007,ME,003,AROOSTOOK,CORN,TONS,YEAR,"11,202",11202
2007,ME,019,PENOBSCOT,CORN,TONS,YEAR,"131,057",131057
2007,ME,021,PISCATAQUIS,CORN,TONS,YEAR,"7,554",7554
2007,ME,025,SOMERSET,CORN,TONS,YEAR,"87,417",87417
2007,ME,027,WALDO,CORN,TONS,YEAR,"53,006",53006
2007,ME,001,ANDROSCOGGIN,CORN,TONS,YEAR,"33,172",33172
2007,ME,005,CUMBERLAND,CORN,TONS,YEAR,"4,533",4533
2007,ME,007,FRANKLIN,CORN,TONS,YEAR,"5,780",5780
2007,ME,011,KENNEBEC,CORN,TONS,YEAR,"75,739",75739
2007,ME,017,OXFORD,CORN,TONS,YEAR,"12,200",12200
2007,ME,031,YORK,CORN,TONS,YEAR,"4,409",4409
2007,ME,003,AROOSTOOK,HAY,TONS,YEAR,"8,072",8072
2007,ME,019,PENOBSCOT,HAY,TONS,YEAR,"1,944",1944
2007,ME,025,SOMERSET,HAY,TONS,YEAR,902,902
2007,ME,027,WALDO,HAY,TONS,YEAR,"1,415",1415
2007,ME,001,ANDROSCOGGIN,HAY,TONS,YEAR,"1,052",1052
2007,ME,005,CUMBERLAND,HAY,TONS,YEAR,"1,794",1794
2007,ME,011,KENNEBEC,HAY,TONS,YEAR,"2,614",2614
2007,ME,013,KNOX,HAY,TONS,YEAR,7,7
2007,ME,015,LINCOLN,HAY,TONS,YEAR,815,815
2007,ME,017,OXFORD,HAY,TONS,YEAR,544,544
2007,ME,023,SAGADAHOC,HAY,TONS,YEAR,238,238
2007,ME,031,YORK,HAY,TONS,YEAR,"1,406",1406
2007,ME,003,AROOSTOOK,HAY,TONS,YEAR,"40,454",40454
2007,ME,019,PENOBSCOT,HAY,TONS,YEAR,"26,359",26359
2007,ME,021,PISCATAQUIS,HAY,TONS,YEAR,"6,303",6303
2007,ME,025,SOMERSET,HAY,TONS,YEAR,"27,545",27545
2007,ME,027,WALDO,HAY,TONS,YEAR,"22,326",22326
2007,ME,001,ANDROSCOGGIN,HAY,TONS,YEAR,"16,069",16069
2007,ME,005,CUMBERLAND,HAY,TONS,YEAR,"18,917",18917
2007,ME,007,FRANKLIN,HAY,TONS,YEAR,"12,381",12381
2007,ME,011,KENNEBEC,HAY,TONS,YEAR,"33,725",33725
2007,ME,013,KNOX,HAY,TONS,YEAR,"10,387",10387
2007,ME,015,LINCOLN,HAY,TONS,YEAR,"10,445",10445
2007,ME,017,OXFORD,HAY,TONS,YEAR,"14,168",14168
2007,ME,023,SAGADAHOC,HAY,TONS,YEAR,"6,753",6753
2007,ME,031,YORK,HAY,TONS,YEAR,"24,629",24629
2007,ME,003,AROOSTOOK,HAY,TONS,YEAR,"2,190",2190
2007,ME,019,PENOBSCOT,HAY,TONS,YEAR,"1,047",1047
2007,ME,025,SOMERSET,HAY,TONS,YEAR,473,473
2007,ME,027,WALDO,HAY,TONS,YEAR,488,488
2007,ME,001,ANDROSCOGGIN,HAY,TONS,YEAR,195,195
2007,ME,005,CUMBERLAND,HAY,TONS,YEAR,337,337
2007,ME,011,KENNEBEC,HAY,TONS,YEAR,"1,061",1061
2007,ME,013,KNOX,HAY,TONS,YEAR,"2,833",2833
2007,ME,015,LINCOLN,HAY,TONS,YEAR,64,64
2007,ME,017,OXFORD,HAY,TONS,YEAR,42,42
2007,ME,031,YORK,HAY,TONS,YEAR,946,946
2007,ME,003,AROOSTOOK,HAY,TONS,YEAR,"24,805",24805
2007,ME,009,HANCOCK,HAY,TONS,YEAR,"2,087",2087
2007,ME,019,PENOBSCOT,HAY,TONS,YEAR,"19,253",19253
2007,ME,021,PISCATAQUIS,HAY,TONS,YEAR,"4,847",4847
2007,ME,025,SOMERSET,HAY,TONS,YEAR,"21,996",21996
2007,ME,027,WALDO,HAY,TONS,YEAR,"14,152",14152
2007,ME,029,WASHINGTON,HAY,TONS,YEAR,668,668
2007,ME,001,ANDROSCOGGIN,HAY,TONS,YEAR,"10,292",10292
2007,ME,005,CUMBERLAND,HAY,TONS,YEAR,"12,697",12697
2007,ME,007,FRANKLIN,HAY,TONS,YEAR,"7,923",7923
2007,ME,011,KENNEBEC,HAY,TONS,YEAR,"25,108",25108
2007,ME,013,KNOX,HAY,TONS,YEAR,"4,802",4802
2007,ME,015,LINCOLN,HAY,TONS,YEAR,"6,236",6236
2007,ME,017,OXFORD,HAY,TONS,YEAR,"9,424",9424
2007,ME,023,SAGADAHOC,HAY,TONS,YEAR,"4,443",4443
2007,ME,031,YORK,HAY,TONS,YEAR,"17,665",17665
2007,ME,003,AROOSTOOK,HAY,TONS,YEAR,"5,387",5387
2007,ME,009,HANCOCK,HAY,TONS,YEAR,"1,022",1022
2007,ME,019,PENOBSCOT,HAY,TONS,YEAR,"4,115",4115
2007,ME,021,PISCATAQUIS,HAY,TONS,YEAR,796,796
2007,ME,025,SOMERSET,HAY,TONS,YEAR,"4,174",4174
2007,ME,027,WALDO,HAY,TONS,YEAR,"6,271",6271
2007,ME,029,WASHINGTON,HAY,TONS,YEAR,"1,055",1055
2007,ME,001,ANDROSCOGGIN,HAY,TONS,YEAR,"4,530",4530
2007,ME,005,CUMBERLAND,HAY,TONS,YEAR,"4,089",4089
2007,ME,007,FRANKLIN,HAY,TONS,YEAR,"1,645",1645
2007,ME,011,KENNEBEC,HAY,TONS,YEAR,"4,942",4942
2007,ME,013,KNOX,HAY,TONS,YEAR,"2,745",2745
2007,ME,015,LINCOLN,HAY,TONS,YEAR,"3,330",3330
2007,ME,017,OXFORD,HAY,TONS,YEAR,"4,158",4158
2007,ME,023,SAGADAHOC,HAY,TONS,YEAR,"2,072",2072
2007,ME,031,YORK,HAY,TONS,YEAR,"4,612",4612
2007,ME,003,AROOSTOOK,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"49,712",49712
2007,ME,009,HANCOCK,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"3,670",3670
2007,ME,019,PENOBSCOT,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"59,718",59718
2007,ME,021,PISCATAQUIS,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"9,240",9240
2007,ME,025,SOMERSET,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"48,630",48630
2007,ME,027,WALDO,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"35,717",35717
2007,ME,029,WASHINGTON,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"1,981",1981
2007,ME,001,ANDROSCOGGIN,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"30,436",30436
2007,ME,005,CUMBERLAND,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"26,221",26221
2007,ME,007,FRANKLIN,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"17,878",17878
2007,ME,011,KENNEBEC,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"66,532",66532
2007,ME,013,KNOX,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"12,579",12579
2007,ME,015,LINCOLN,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"11,975",11975
2007,ME,017,OXFORD,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"16,196",16196
2007,ME,023,SAGADAHOC,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"9,831",9831
2007,ME,031,YORK,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"28,107",28107
2007,ME,003,AROOSTOOK,HAYLAGE,TONS,YEAR,"14,338",14338
2007,ME,009,HANCOCK,HAYLAGE,TONS,YEAR,671,671
2007,ME,019,PENOBSCOT,HAYLAGE,TONS,YEAR,"54,166",54166
2007,ME,021,PISCATAQUIS,HAYLAGE,TONS,YEAR,"5,942",5942
2007,ME,025,SOMERSET,HAYLAGE,TONS,YEAR,"30,101",30101
2007,ME,027,WALDO,HAYLAGE,TONS,YEAR,"21,371",21371
2007,ME,001,ANDROSCOGGIN,HAYLAGE,TONS,YEAR,"22,131",22131
2007,ME,005,CUMBERLAND,HAYLAGE,TONS,YEAR,"11,357",11357
2007,ME,007,FRANKLIN,HAYLAGE,TONS,YEAR,"7,105",7105
2007,ME,011,KENNEBEC,HAYLAGE,TONS,YEAR,"46,584",46584
2007,ME,015,LINCOLN,HAYLAGE,TONS,YEAR,"2,715",2715
2007,ME,017,OXFORD,HAYLAGE,TONS,YEAR,"2,556",2556
2007,ME,023,SAGADAHOC,HAYLAGE,TONS,YEAR,"6,226",6226
2007,ME,031,YORK,HAYLAGE,TONS,YEAR,"6,502",6502
2007,ME,003,AROOSTOOK,HAYLAGE,TONS,YEAR,"4,391",4391
2007,ME,019,PENOBSCOT,HAYLAGE,TONS,YEAR,"13,322",13322
2007,ME,025,SOMERSET,HAYLAGE,TONS,YEAR,"12,555",12555
2007,ME,027,WALDO,HAYLAGE,TONS,YEAR,"5,720",5720
2007,ME,001,ANDROSCOGGIN,HAYLAGE,TONS,YEAR,"6,935",6935
2007,ME,005,CUMBERLAND,HAYLAGE,TONS,YEAR,"3,420",3420
2007,ME,007,FRANKLIN,HAYLAGE,TONS,YEAR,"4,016",4016
2007,ME,011,KENNEBEC,HAYLAGE,TONS,YEAR,"19,787",19787
2007,ME,015,LINCOLN,HAYLAGE,TONS,YEAR,380,380
2007,ME,017,OXFORD,HAYLAGE,TONS,YEAR,"1,546",1546
2007,ME,031,YORK,HAYLAGE,TONS,YEAR,534,534
2007,ME,003,AROOSTOOK,HAYLAGE,TONS,YEAR,"18,729",18729
2007,ME,019,PENOBSCOT,HAYLAGE,TONS,YEAR,"67,488",67488
2007,ME,021,PISCATAQUIS,HAYLAGE,TONS,YEAR,"5,942",5942
2007,ME,025,SOMERSET,HAYLAGE,TONS,YEAR,"42,656",42656
2007,ME,027,WALDO,HAYLAGE,TONS,YEAR,"27,091",27091
2007,ME,001,ANDROSCOGGIN,HAYLAGE,TONS,YEAR,"29,066",29066
2007,ME,005,CUMBERLAND,HAYLAGE,TONS,YEAR,"14,777",14777
2007,ME,007,FRANKLIN,HAYLAGE,TONS,YEAR,"11,121",11121
2007,ME,011,KENNEBEC,HAYLAGE,TONS,YEAR,"66,371",66371
2007,ME,013,KNOX,HAYLAGE,TONS,YEAR,"4,434",4434
2007,ME,015,LINCOLN,HAYLAGE,TONS,YEAR,"3,095",3095
2007,ME,017,OXFORD,HAYLAGE,TONS,YEAR,"4,102",4102
2007,ME,023,SAGADAHOC,HAYLAGE,TONS,YEAR,"6,226",6226
2007,ME,031,YORK,HAYLAGE,TONS,YEAR,"7,036",7036
2007,ME,003,AROOSTOOK,MAPLE SYRUP,GALLONS,YEAR,"4,981",4981
2007,ME,009,HANCOCK,MAPLE SYRUP,GALLONS,YEAR,124,124
2007,ME,019,PENOBSCOT,MAPLE SYRUP,GALLONS,YEAR,"1,439",1439
2007,ME,021,PISCATAQUIS,MAPLE SYRUP,GALLONS,YEAR,"3,286",3286
2007,ME,025,SOMERSET,MAPLE SYRUP,GALLONS,YEAR,"223,459",223459
2007,ME,027,WALDO,MAPLE SYRUP,GALLONS,YEAR,"5,598",5598
2007,ME,029,WASHINGTON,MAPLE SYRUP,GALLONS,YEAR,115,115
2007,ME,001,ANDROSCOGGIN,MAPLE SYRUP,GALLONS,YEAR,"1,523",1523
2007,ME,005,CUMBERLAND,MAPLE SYRUP,GALLONS,YEAR,837,837
2007,ME,007,FRANKLIN,MAPLE SYRUP,GALLONS,YEAR,"3,524",3524
2007,ME,011,KENNEBEC,MAPLE SYRUP,GALLONS,YEAR,"1,227",1227
2007,ME,013,KNOX,MAPLE SYRUP,GALLONS,YEAR,348,348
2007,ME,015,LINCOLN,MAPLE SYRUP,GALLONS,YEAR,683,683
2007,ME,017,OXFORD,MAPLE SYRUP,GALLONS,YEAR,"2,941",2941
2007,ME,023,SAGADAHOC,MAPLE SYRUP,GALLONS,YEAR,76,76
2007,ME,031,YORK,MAPLE SYRUP,GALLONS,YEAR,"2,286",2286
2007,ME,003,AROOSTOOK,OATS,BU,YEAR,"1,915,733",1915733
2007,ME,009,HANCOCK,OATS,BU,YEAR,"1,125",1125
2007,ME,019,PENOBSCOT,OATS,BU,YEAR,"13,223",13223
2007,ME,021,PISCATAQUIS,OATS,BU,YEAR,"4,338",4338
2007,ME,007,FRANKLIN,OATS,BU,YEAR,"1,525",1525
2007,ME,003,AROOSTOOK,SOYBEANS,BU,YEAR,"15,590",15590
2007,ME,003,AROOSTOOK,WHEAT,BU,YEAR,"15,961",15961
2012,ME,003,AROOSTOOK,BARLEY,BU,YEAR,"860,835",860835
2012,ME,021,PISCATAQUIS,BARLEY,BU,YEAR,"3,000",3000
2012,ME,015,LINCOLN,BARLEY,BU,YEAR,750,750
2012,ME,025,SOMERSET,BEANS,CWT,YEAR,275,275
2012,ME,003,AROOSTOOK,CANOLA,LB,YEAR,"757,434",757434
2012,ME,003,AROOSTOOK,CORN,BU,YEAR,"40,728",40728
2012,ME,025,SOMERSET,CORN,BU,YEAR,"113,948",113948
2012,ME,029,WASHINGTON,CORN,BU,YEAR,60,60
2012,ME,011,KENNEBEC,CORN,BU,YEAR,"112,467",112467
2012,ME,031,YORK,CORN,BU,YEAR,"24,411",24411
2012,ME,003,AROOSTOOK,CORN,TONS,YEAR,"5,864",5864
2012,ME,019,PENOBSCOT,CORN,TONS,YEAR,"122,435",122435
2012,ME,021,PISCATAQUIS,CORN,TONS,YEAR,"15,073",15073
2012,ME,025,SOMERSET,CORN,TONS,YEAR,"68,649",68649
2012,ME,027,WALDO,CORN,TONS,YEAR,"45,787",45787
2012,ME,001,ANDROSCOGGIN,CORN,TONS,YEAR,"31,646",31646
2012,ME,005,CUMBERLAND,CORN,TONS,YEAR,"5,712",5712
2012,ME,007,FRANKLIN,CORN,TONS,YEAR,"1,295",1295
2012,ME,011,KENNEBEC,CORN,TONS,YEAR,"54,995",54995
2012,ME,017,OXFORD,CORN,TONS,YEAR,"8,446",8446
2012,ME,023,SAGADAHOC,CORN,TONS,YEAR,"2,164",2164
2012,ME,031,YORK,CORN,TONS,YEAR,"9,118",9118
2012,ME,003,AROOSTOOK,GRAIN,OPERATIONS,YEAR,1,1
2012,ME,003,AROOSTOOK,HAY,TONS,YEAR,"3,618",3618
2012,ME,009,HANCOCK,HAY,TONS,YEAR,11,11
2012,ME,019,PENOBSCOT,HAY,TONS,YEAR,"1,824",1824
2012,ME,021,PISCATAQUIS,HAY,TONS,YEAR,39,39
2012,ME,025,SOMERSET,HAY,TONS,YEAR,360,360
2012,ME,027,WALDO,HAY,TONS,YEAR,298,298
2012,ME,029,WASHINGTON,HAY,TONS,YEAR,308,308
2012,ME,005,CUMBERLAND,HAY,TONS,YEAR,624,624
2012,ME,011,KENNEBEC,HAY,TONS,YEAR,"1,266",1266
2012,ME,013,KNOX,HAY,TONS,YEAR,104,104
2012,ME,017,OXFORD,HAY,TONS,YEAR,"1,614",1614
2012,ME,031,YORK,HAY,TONS,YEAR,"2,293",2293
2012,ME,003,AROOSTOOK,HAY,TONS,YEAR,"49,217",49217
2012,ME,009,HANCOCK,HAY,TONS,YEAR,"4,351",4351
2012,ME,019,PENOBSCOT,HAY,TONS,YEAR,"27,564",27564
2012,ME,021,PISCATAQUIS,HAY,TONS,YEAR,"11,606",11606
2012,ME,025,SOMERSET,HAY,TONS,YEAR,"34,776",34776
2012,ME,027,WALDO,HAY,TONS,YEAR,"20,826",20826
2012,ME,029,WASHINGTON,HAY,TONS,YEAR,"4,342",4342
2012,ME,001,ANDROSCOGGIN,HAY,TONS,YEAR,"19,706",19706
2012,ME,005,CUMBERLAND,HAY,TONS,YEAR,"22,625",22625
2012,ME,007,FRANKLIN,HAY,TONS,YEAR,"11,930",11930
2012,ME,011,KENNEBEC,HAY,TONS,YEAR,"22,229",22229
2012,ME,013,KNOX,HAY,TONS,YEAR,"5,555",5555
2012,ME,015,LINCOLN,HAY,TONS,YEAR,"6,483",6483
2012,ME,017,OXFORD,HAY,TONS,YEAR,"13,784",13784
2012,ME,023,SAGADAHOC,HAY,TONS,YEAR,"3,599",3599
2012,ME,031,YORK,HAY,TONS,YEAR,"22,389",22389
2012,ME,003,AROOSTOOK,HAY,TONS,YEAR,"7,132",7132
2012,ME,019,PENOBSCOT,HAY,TONS,YEAR,529,529
2012,ME,025,SOMERSET,HAY,TONS,YEAR,"3,506",3506
2012,ME,027,WALDO,HAY,TONS,YEAR,818,818
2012,ME,005,CUMBERLAND,HAY,TONS,YEAR,"1,061",1061
2012,ME,011,KENNEBEC,HAY,TONS,YEAR,"1,421",1421
2012,ME,031,YORK,HAY,TONS,YEAR,"1,770",1770
2012,ME,003,AROOSTOOK,HAY,TONS,YEAR,"31,253",31253
2012,ME,009,HANCOCK,HAY,TONS,YEAR,"2,260",2260
2012,ME,019,PENOBSCOT,HAY,TONS,YEAR,"21,172",21172
2012,ME,021,PISCATAQUIS,HAY,TONS,YEAR,"9,797",9797
2012,ME,025,SOMERSET,HAY,TONS,YEAR,"20,640",20640
2012,ME,027,WALDO,HAY,TONS,YEAR,"11,521",11521
2012,ME,029,WASHINGTON,HAY,TONS,YEAR,"2,253",2253
2012,ME,001,ANDROSCOGGIN,HAY,TONS,YEAR,"16,599",16599
2012,ME,005,CUMBERLAND,HAY,TONS,YEAR,"16,455",16455
2012,ME,007,FRANKLIN,HAY,TONS,YEAR,"7,249",7249
2012,ME,011,KENNEBEC,HAY,TONS,YEAR,"13,408",13408
2012,ME,013,KNOX,HAY,TONS,YEAR,"2,237",2237
2012,ME,015,LINCOLN,HAY,TONS,YEAR,"2,667",2667
2012,ME,017,OXFORD,HAY,TONS,YEAR,"9,417",9417
2012,ME,023,SAGADAHOC,HAY,TONS,YEAR,"1,986",1986
2012,ME,031,YORK,HAY,TONS,YEAR,"14,741",14741
2012,ME,003,AROOSTOOK,HAY,TONS,YEAR,"7,214",7214
2012,ME,009,HANCOCK,HAY,TONS,YEAR,"2,080",2080
2012,ME,019,PENOBSCOT,HAY,TONS,YEAR,"4,039",4039
2012,ME,025,SOMERSET,HAY,TONS,YEAR,"10,270",10270
2012,ME,027,WALDO,HAY,TONS,YEAR,"8,189",8189
2012,ME,029,WASHINGTON,HAY,TONS,YEAR,"1,781",1781
2012,ME,001,ANDROSCOGGIN,HAY,TONS,YEAR,"2,332",2332
2012,ME,005,CUMBERLAND,HAY,TONS,YEAR,"4,485",4485
2012,ME,007,FRANKLIN,HAY,TONS,YEAR,"1,706",1706
2012,ME,011,KENNEBEC,HAY,TONS,YEAR,"6,134",6134
2012,ME,013,KNOX,HAY,TONS,YEAR,"3,214",3214
2012,ME,015,LINCOLN,HAY,TONS,YEAR,"3,448",3448
2012,ME,017,OXFORD,HAY,TONS,YEAR,"2,753",2753
2012,ME,031,YORK,HAY,TONS,YEAR,"3,585",3585
2012,ME,003,AROOSTOOK,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"54,079",54079
2012,ME,009,HANCOCK,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"4,679",4679
2012,ME,019,PENOBSCOT,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"48,617",48617
2012,ME,021,PISCATAQUIS,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"17,134",17134
2012,ME,025,SOMERSET,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"56,993",56993
2012,ME,027,WALDO,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"36,500",36500
2012,ME,029,WASHINGTON,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"5,006",5006
2012,ME,001,ANDROSCOGGIN,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"31,890",31890
2012,ME,005,CUMBERLAND,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"29,566",29566
2012,ME,007,FRANKLIN,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"16,967",16967
2012,ME,011,KENNEBEC,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"55,807",55807
2012,ME,013,KNOX,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"6,758",6758
2012,ME,015,LINCOLN,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"9,655",9655
2012,ME,017,OXFORD,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"15,702",15702
2012,ME,023,SAGADAHOC,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"6,298",6298
2012,ME,031,YORK,HAY & HAYLAGE,"TONS, DRY BASIS",YEAR,"28,525",28525
2012,ME,003,AROOSTOOK,HAYLAGE,TONS,YEAR,"6,407",6407
2012,ME,019,PENOBSCOT,HAYLAGE,TONS,YEAR,"29,783",29783
2012,ME,021,PISCATAQUIS,HAYLAGE,TONS,YEAR,"11,186",11186
2012,ME,025,SOMERSET,HAYLAGE,TONS,YEAR,"28,653",28653
2012,ME,027,WALDO,HAYLAGE,TONS,YEAR,"27,215",27215
2012,ME,029,WASHINGTON,HAYLAGE,TONS,YEAR,912,912
2012,ME,001,ANDROSCOGGIN,HAYLAGE,TONS,YEAR,"23,001",23001
2012,ME,005,CUMBERLAND,HAYLAGE,TONS,YEAR,"13,069",13069
2012,ME,011,KENNEBEC,HAYLAGE,TONS,YEAR,"63,356",63356
2012,ME,013,KNOX,HAYLAGE,TONS,YEAR,"1,703",1703
2012,ME,017,OXFORD,HAYLAGE,TONS,YEAR,"2,630",2630
2012,ME,023,SAGADAHOC,HAYLAGE,TONS,YEAR,"5,458",5458
2012,ME,031,YORK,HAYLAGE,TONS,YEAR,"8,775",8775
2012,ME,003,AROOSTOOK,HAYLAGE,TONS,YEAR,"3,428",3428
2012,ME,019,PENOBSCOT,HAYLAGE,TONS,YEAR,"12,805",12805
2012,ME,025,SOMERSET,HAYLAGE,TONS,YEAR,"16,297",16297
2012,ME,027,WALDO,HAYLAGE,TONS,YEAR,"4,490",4490
2012,ME,001,ANDROSCOGGIN,HAYLAGE,TONS,YEAR,"1,646",1646
2012,ME,005,CUMBERLAND,HAYLAGE,TONS,YEAR,971,971
2012,ME,011,KENNEBEC,HAYLAGE,TONS,YEAR,"4,582",4582
2012,ME,013,KNOX,HAYLAGE,TONS,YEAR,735,735
2012,ME,017,OXFORD,HAYLAGE,TONS,YEAR,"1,250",1250
2012,ME,031,YORK,HAYLAGE,TONS,YEAR,"3,637",3637
2012,ME,003,AROOSTOOK,HAYLAGE,TONS,YEAR,"9,835",9835
2012,ME,019,PENOBSCOT,HAYLAGE,TONS,YEAR,"42,588",42588
2012,ME,021,PISCATAQUIS,HAYLAGE,TONS,YEAR,"11,186",11186
2012,ME,025,SOMERSET,HAYLAGE,TONS,YEAR,"44,950",44950
2012,ME,027,WALDO,HAYLAGE,TONS,YEAR,"31,705",31705
2012,ME,001,ANDROSCOGGIN,HAYLAGE,TONS,YEAR,"24,647",24647
2012,ME,005,CUMBERLAND,HAYLAGE,TONS,YEAR,"14,040",14040
2012,ME,007,FRANKLIN,HAYLAGE,TONS,YEAR,"10,188",10188
2012,ME,011,KENNEBEC,HAYLAGE,TONS,YEAR,"67,938",67938
2012,ME,013,KNOX,HAYLAGE,TONS,YEAR,"2,438",2438
2012,ME,015,LINCOLN,HAYLAGE,TONS,YEAR,"6,423",6423
2012,ME,017,OXFORD,HAYLAGE,TONS,YEAR,"3,880",3880
2012,ME,023,SAGADAHOC,HAYLAGE,TONS,YEAR,"5,458",5458
2012,ME,031,YORK,HAYLAGE,TONS,YEAR,"12,412",12412
2012,ME,003,AROOSTOOK,MAPLE SYRUP,GALLONS,YEAR,"1,907",1907
2012,ME,009,HANCOCK,MAPLE SYRUP,GALLONS,YEAR,395,395
2012,ME,019,PENOBSCOT,MAPLE SYRUP,GALLONS,YEAR,"1,342",1342
2012,ME,021,PISCATAQUIS,MAPLE SYRUP,GALLONS,YEAR,"1,667",1667
2012,ME,025,SOMERSET,MAPLE SYRUP,GALLONS,YEAR,"425,644",425644
2012,ME,027,WALDO,MAPLE SYRUP,GALLONS,YEAR,594,594
2012,ME,029,WASHINGTON,MAPLE SYRUP,GALLONS,YEAR,"1,271",1271
2012,ME,001,ANDROSCOGGIN,MAPLE SYRUP,GALLONS,YEAR,937,937
2012,ME,005,CUMBERLAND,MAPLE SYRUP,GALLONS,YEAR,"1,774",1774
2012,ME,007,FRANKLIN,MAPLE SYRUP,GALLONS,YEAR,"2,036",2036
2012,ME,011,KENNEBEC,MAPLE SYRUP,GALLONS,YEAR,963,963
2012,ME,013,KNOX,MAPLE SYRUP,GALLONS,YEAR,167,167
2012,ME,015,LINCOLN,MAPLE SYRUP,GALLONS,YEAR,157,157
2012,ME,017,OXFORD,MAPLE SYRUP,GALLONS,YEAR,"2,159",2159
2012,ME,023,SAGADAHOC,MAPLE SYRUP,GALLONS,YEAR,134,134
2012,ME,031,YORK,MAPLE SYRUP,GALLONS,YEAR,"1,877",1877
